Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,063254,1989,09,13.7,Y
IDCJAC0002,063254,1989,10,16.2,Y
IDCJAC0002,063254,1989,11,20.8,Y
IDCJAC0002,063254,1989,12,24.6,Y
IDCJAC0002,063254,1990,01,27.3,Y
IDCJAC0002,063254,1990,02,23.2,Y
IDCJAC0002,063254,1990,03,23.2,Y
IDCJAC0002,063254,1990,04,16.4,Y
IDCJAC0002,063254,1990,05,14.1,Y
IDCJAC0002,063254,1990,06,9.1,Y
IDCJAC0002,063254,1990,07,8.5,Y
IDCJAC0002,063254,1990,08,8.0,Y
IDCJAC0002,063254,1990,09,13.2,Y
IDCJAC0002,063254,1990,10,17.0,Y
IDCJAC0002,063254,1990,11,22.1,Y
IDCJAC0002,063254,1990,12,28.0,Y
IDCJAC0002,063254,1991,01,27.4,Y
IDCJAC0002,063254,1991,02,30.1,Y
IDCJAC0002,063254,1991,03,24.8,Y
IDCJAC0002,063254,1991,04,18.7,Y
IDCJAC0002,063254,1991,05,14.9,Y
IDCJAC0002,063254,1991,06,12.0,Y
IDCJAC0002,063254,1991,07,8.3,Y
IDCJAC0002,063254,1991,08,8.6,Y
IDCJAC0002,063254,1991,09,12.9,Y
IDCJAC0002,063254,1991,10,19.2,Y
IDCJAC0002,063254,1991,11,20.6,Y
IDCJAC0002,063254,1991,12,22.1,Y
IDCJAC0002,063254,1992,01,24.4,Y
IDCJAC0002,063254,1992,02,21.9,Y
IDCJAC0002,063254,1992,03,22.4,Y
IDCJAC0002,063254,1992,04,18.3,Y
IDCJAC0002,063254,1992,05,13.7,Y
IDCJAC0002,063254,1992,06,9.6,Y
IDCJAC0002,063254,1992,07,9.9,Y
IDCJAC0002,063254,1992,08,9.6,Y
IDCJAC0002,063254,1992,09,11.2,Y
IDCJAC0002,063254,1992,10,16.3,Y
IDCJAC0002,063254,1992,11,17.6,Y
IDCJAC0002,063254,1992,12,20.9,Y
IDCJAC0002,063254,1993,01,26.5,Y
IDCJAC0002,063254,1993,02,25.7,Y
IDCJAC0002,063254,1993,03,20.8,Y
IDCJAC0002,063254,1993,04,20.4,Y
IDCJAC0002,063254,1993,05,15.0,Y
IDCJAC0002,063254,1993,06,9.7,Y
IDCJAC0002,063254,1993,07,11.8,Y
IDCJAC0002,063254,1993,08,12.3,Y
IDCJAC0002,063254,1993,09,13.0,Y
IDCJAC0002,063254,1993,10,16.1,Y
IDCJAC0002,063254,1993,11,20.3,Y
IDCJAC0002,063254,1993,12,22.2,Y
IDCJAC0002,063254,1994,01,27.5,Y
IDCJAC0002,063254,1994,02,25.3,Y
IDCJAC0002,063254,1994,03,20.3,Y
IDCJAC0002,063254,1994,04,18.8,Y
IDCJAC0002,063254,1994,05,14.3,Y
IDCJAC0002,063254,1994,06,10.8,Y
IDCJAC0002,063254,1994,07,10.4,Y
IDCJAC0002,063254,1994,08,11.1,Y
IDCJAC0002,063254,1994,09,13.8,Y
IDCJAC0002,063254,1994,10,18.1,Y
IDCJAC0002,063254,1994,11,20.4,Y
IDCJAC0002,063254,1994,12,26.8,Y
IDCJAC0002,063254,1995,01,23.4,Y
IDCJAC0002,063254,1995,02,24.6,Y
IDCJAC0002,063254,1995,03,22.4,Y
IDCJAC0002,063254,1995,04,16.4,Y
IDCJAC0002,063254,1995,05,13.7,Y
IDCJAC0002,063254,1995,06,9.9,Y
IDCJAC0002,063254,1995,07,7.8,Y
IDCJAC0002,063254,1995,08,13.9,Y
IDCJAC0002,063254,1995,09,13.7,Y
IDCJAC0002,063254,1995,10,18.0,Y
IDCJAC0002,063254,1995,11,20.4,Y
IDCJAC0002,063254,1995,12,22.7,Y
IDCJAC0002,063254,1996,01,25.1,Y
IDCJAC0002,063254,1996,02,22.8,Y
IDCJAC0002,063254,1996,03,21.6,Y
IDCJAC0002,063254,1996,04,17.3,Y
IDCJAC0002,063254,1996,05,15.5,Y
IDCJAC0002,063254,1996,06,11.1,Y
IDCJAC0002,063254,1996,07,8.6,Y
IDCJAC0002,063254,1996,08,10.0,Y
IDCJAC0002,063254,1996,09,13.1,Y
IDCJAC0002,063254,1996,10,17.7,Y
IDCJAC0002,063254,1996,11,18.3,Y
IDCJAC0002,063254,1996,12,23.7,Y
IDCJAC0002,063254,1997,01,24.6,Y
IDCJAC0002,063254,1997,02,27.6,Y
IDCJAC0002,063254,1997,03,23.1,Y
IDCJAC0002,063254,1997,04,20.8,Y
IDCJAC0002,063254,1997,05,15.0,Y
IDCJAC0002,063254,1997,06,11.7,Y
IDCJAC0002,063254,1997,07,10.4,Y
IDCJAC0002,063254,1997,08,10.8,Y
IDCJAC0002,063254,1997,09,13.5,Y
IDCJAC0002,063254,1997,10,18.6,Y
IDCJAC0002,063254,1997,11,24.6,Y
IDCJAC0002,063254,1997,12,26.9,Y
IDCJAC0002,063254,1998,01,26.7,Y
IDCJAC0002,063254,1998,02,26.7,Y
IDCJAC0002,063254,1998,03,25.7,Y
IDCJAC0002,063254,1998,04,19.2,Y
IDCJAC0002,063254,1998,05,13.6,Y
IDCJAC0002,063254,1998,06,10.3,Y
IDCJAC0002,063254,1998,07,8.3,Y
IDCJAC0002,063254,1998,08,11.6,Y
IDCJAC0002,063254,1998,09,14.6,Y
IDCJAC0002,063254,1998,10,15.4,Y
IDCJAC0002,063254,1998,11,18.6,Y
IDCJAC0002,063254,1998,12,24.5,Y
IDCJAC0002,063254,1999,01,28.3,Y
IDCJAC0002,063254,1999,02,24.9,Y
IDCJAC0002,063254,1999,03,22.6,Y
IDCJAC0002,063254,1999,04,16.6,Y
IDCJAC0002,063254,1999,05,15.4,Y
IDCJAC0002,063254,1999,06,10.9,Y
IDCJAC0002,063254,1999,07,10.4,Y
IDCJAC0002,063254,1999,08,12.0,Y
IDCJAC0002,063254,1999,09,15.2,Y
IDCJAC0002,063254,1999,10,17.6,Y
IDCJAC0002,063254,1999,11,17.3,Y
IDCJAC0002,063254,1999,12,21.9,Y
IDCJAC0002,063254,2000,01,23.0,Y
IDCJAC0002,063254,2000,02,26.3,Y
IDCJAC0002,063254,2000,03,22.8,Y
IDCJAC0002,063254,2000,04,17.0,Y
IDCJAC0002,063254,2000,05,12.9,Y
IDCJAC0002,063254,2000,06,9.8,Y
IDCJAC0002,063254,2000,07,10.2,Y
IDCJAC0002,063254,2000,08,10.2,Y
IDCJAC0002,063254,2000,09,16.3,Y
IDCJAC0002,063254,2000,10,16.0,Y
IDCJAC0002,063254,2000,11,20.2,Y
IDCJAC0002,063254,2000,12,24.9,Y
IDCJAC0002,063254,2001,01,29.9,Y
IDCJAC0002,063254,2001,02,27.6,Y
IDCJAC0002,063254,2001,03,21.2,Y
IDCJAC0002,063254,2001,04,19.7,Y
IDCJAC0002,063254,2001,05,13.9,Y
IDCJAC0002,063254,2001,06,12.1,Y
IDCJAC0002,063254,2001,07,10.8,Y
IDCJAC0002,063254,2001,08,10.6,Y
IDCJAC0002,063254,2001,09,15.6,Y
IDCJAC0002,063254,2001,10,16.1,Y
IDCJAC0002,063254,2001,11,20.2,Y
IDCJAC0002,063254,2001,12,25.3,Y
IDCJAC0002,063254,2002,01,27.0,Y
IDCJAC0002,063254,2002,02,23.4,Y
IDCJAC0002,063254,2002,03,23.6,Y
IDCJAC0002,063254,2002,04,20.5,Y
IDCJAC0002,063254,2002,05,13.5,Y
IDCJAC0002,063254,2002,06,11.1,Y
IDCJAC0002,063254,2002,07,11.0,Y
IDCJAC0002,063254,2002,08,13.2,Y
IDCJAC0002,063254,2002,09,15.7,Y
IDCJAC0002,063254,2002,10,20.3,Y
IDCJAC0002,063254,2002,11,26.3,Y
IDCJAC0002,063254,2002,12,26.5,Y
IDCJAC0002,063254,2003,01,29.3,Y
IDCJAC0002,063254,2003,02,26.2,Y
IDCJAC0002,063254,2003,03,21.3,Y
IDCJAC0002,063254,2003,04,17.7,Y
IDCJAC0002,063254,2003,05,14.9,Y
IDCJAC0002,063254,2003,06,11.1,Y
IDCJAC0002,063254,2003,07,10.1,Y
IDCJAC0002,063254,2003,08,11.1,Y
IDCJAC0002,063254,2003,09,14.3,Y
IDCJAC0002,063254,2003,10,15.6,Y
IDCJAC0002,063254,2003,11,22.1,Y
IDCJAC0002,063254,2003,12,26.5,Y
IDCJAC0002,063254,2004,01,28.2,Y
IDCJAC0002,063254,2004,02,29.5,Y
IDCJAC0002,063254,2004,03,24.4,Y
IDCJAC0002,063254,2004,04,21.6,Y
IDCJAC0002,063254,2004,05,14.6,Y
IDCJAC0002,063254,2004,06,10.6,Y
IDCJAC0002,063254,2004,07,9.7,Y
IDCJAC0002,063254,2004,08,11.1,Y
IDCJAC0002,063254,2004,09,14.7,Y
IDCJAC0002,063254,2004,10,17.4,Y
IDCJAC0002,063254,2004,11,21.0,Y
IDCJAC0002,063254,2004,12,23.9,Y
IDCJAC0002,063254,2005,01,26.7,Y
IDCJAC0002,063254,2005,02,25.4,Y
IDCJAC0002,063254,2005,03,22.6,Y
IDCJAC0002,063254,2005,04,22.9,Y
IDCJAC0002,063254,2005,05,16.4,Y
IDCJAC0002,063254,2005,06,12.8,Y
IDCJAC0002,063254,2005,07,10.1,Y
IDCJAC0002,063254,2005,08,11.9,Y
IDCJAC0002,063254,2005,09,13.8,Y
IDCJAC0002,063254,2005,10,18.0,Y
IDCJAC0002,063254,2005,11,21.0,Y
IDCJAC0002,063254,2005,12,25.8,Y
IDCJAC0002,063254,2006,01,28.8,Y
IDCJAC0002,063254,2006,02,27.7,Y
IDCJAC0002,063254,2006,03,24.6,Y
IDCJAC0002,063254,2006,04,18.0,Y
IDCJAC0002,063254,2006,05,14.0,Y
IDCJAC0002,063254,2006,06,11.3,Y
IDCJAC0002,063254,2006,07,10.3,Y
IDCJAC0002,063254,2006,08,13.2,Y
IDCJAC0002,063254,2006,09,17.3,Y
IDCJAC0002,063254,2006,10,21.9,Y
IDCJAC0002,063254,2006,11,25.1,Y
IDCJAC0002,063254,2006,12,26.2,Y
IDCJAC0002,063254,2007,01,27.6,Y
IDCJAC0002,063254,2007,02,26.5,Y
IDCJAC0002,063254,2007,03,23.8,Y
IDCJAC0002,063254,2007,04,20.0,Y
IDCJAC0002,063254,2007,05,15.5,Y
IDCJAC0002,063254,2007,06,9.8,Y
IDCJAC0002,063254,2007,07,8.6,Y
IDCJAC0002,063254,2007,08,12.6,Y
